"Num","x1","x2","x3","x4","x5","x1Name","x2Name","x3Name","x4Name","x5Name","account","subArea","Population(K)","GNI(M$)"
"1","cn","01",,,,"China","Beijing",,,,,,,
"2","cn","02",,,,"China","Tianjin",,,,,,,
"3","cn","03",,,,"China","Hebei",,,,,,,
"4","cn","04",,,,"China","Shanxi",,,,,,,
"5","cn","05",,,,"China","Inner Mongolia",,,,,,,
"6","cn","06",,,,"China","Liaoning",,,,,,,
"7","cn","07",,,,"China","Jilin",,,,,,,
"8","cn","08",,,,"China","Heilongjiang",,,,,,,
"9","cn","09",,,,"China","Shanghai",,,,,,,
"10","cn","10",,,,"China","Jiangsu",,,,,,,
"11","cn","11",,,,"China","Zhejiang",,,,,,,
"12","cn","12",,,,"China","Anhui",,,,,,,
"13","cn","13",,,,"China","Fujian",,,,,,,
"14","cn","14",,,,"China","Jiangxi",,,,,,,
"15","cn","15",,,,"China","Shandong",,,,,,,
"16","cn","16",,,,"China","Henan",,,,,,,
"17","cn","17",,,,"China","Hubei",,,,,,,
"18","cn","18",,,,"China","Hunan",,,,,,,
"19","cn","19",,,,"China","Guangdong",,,,,,,
"20","cn","20",,,,"China","Guangxi",,,,,,,
"21","cn","21",,,,"China","Hainan",,,,,,,
"22","cn","22",,,,"China","Chongqing",,,,,,,
"23","cn","23",,,,"China","Sichuan",,,,,,,
"24","cn","24",,,,"China","Guizhou",,,,,,,
"25","cn","25",,,,"China","Yunnan",,,,,,,
"26","cn","26",,,,"China","Tibet",,,,,,,
"27","cn","27",,,,"China","Shaanxi",,,,,"+",,
"28","cn","28",,,,"China","Gansu",,,,,,,
"29","cn","29",,,,"China","Qinghai",,,,,,,
"30","cn","30",,,,"China","Ningxia",,,,,,,
"31","cn","31",,,,"China","Xinjiang",,,,,,,
"32","cn","32",,,,"China","Hong Kong",,,,,,,
"33","cn","33",,,,"China","Macau",,,,,,,
