sourceLine,x1,x2,x3,x1Name,x2Name,x3Name,y1,y2,y3,z3
362,jp,20,4820,日本,長野県,松川村,Japan,Nagano,Matsukawa,松川町
432,jp,18,4233,日本,福井県,越前町,Japan,Fukui,Echizen,越前市
482,jp,21,6046,日本,岐阜県,白川村,Japan,Gifu,Shirakawa,白川町
556,jp,39,3631,日本,高知県,土佐町,Japan,Kochi,Tosa,土佐市
599,jp,13,3621,日本,東京都,利島村,Japan,Tokyo,Toshima,豊島区
944,jp,20,4323,日本,長野県,木曽町,Japan,Nagano,Kiso,木祖村
1037,jp,1,5148,日本,北海道,枝幸町,Japan,Hokkaido,Esashi,江差町
1064,jp,1,6934,日本,北海道,標津町,Japan,Hokkaido,Shibetsu,士別市
1102,jp,34,3021,日本,広島県,府中町,Japan,Hiroshima,Fuchuu,府中市
1356,jp,40,3440,日本,福岡県,須惠町,Japan,Fukuoka,Sue,須恵町
1578,jp,11,3816,日本,埼玉県,美里町,Japan,Saitama,Misato,三郷市
1611,jp,1,6616,日本,北海道,釧路町,Japan,Hokkaido,Kushiro,釧路市
1705,jp,39,4122,日本,高知県,四万十町,Japan,Kochi,Shimanto,四万十市
1706,jp,39,4050,日本,高知県,檮原町,Japan,Kochi,Yusuhara,梼原町
